orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
119,fefmaxfev6_sd,resultado_fvl,sd,fefmaxfev6,float64
120,fefmaxfev6_cv,resultado_fvl,cv,fefmaxfev6,float64
121,fefmaxfev6_skewness,resultado_fvl,skewness,fefmaxfev6,float64
122,fefmaxfev6_pre,resultado_fvl,pre,fefmaxfev6,float64
123,fefmaxfev6_post,resultado_fvl,post,fefmaxfev6,float64
124,fefmaxfvc_predicted,resultado_fvl,predicted,fefmaxfvc,float64
125,fefmaxfvc_sd,resultado_fvl,sd,fefmaxfvc,float64
126,fefmaxfvc_cv,resultado_fvl,cv,fefmaxfvc,float64
127,fefmaxfvc_skewness,resultado_fvl,skewness,fefmaxfvc,float64
128,fefmaxfvc_pre,resultado_fvl,pre,fefmaxfvc,float64
129,fefmaxfvc_post,resultado_fvl,post,fefmaxfvc,float64
130,fef50fif50_predicted,resultado_fvl,predicted,fef50fif50,float64
131,fef50fif50_sd,resultado_fvl,sd,fef50fif50,float64
132,fef50fif50_cv,resultado_fvl,cv,fef50fif50,float64
133,fef50fif50_skewness,resultado_fvl,skewness,fef50fif50,float64
134,fef50fif50_pre,resultado_fvl,pre,fef50fif50,float64
135,fef50fif50_post,resultado_fvl,post,fef50fif50,float64
136,fef50fvc_predicted,resultado_fvl,predicted,fef50fvc,float64
137,fef50fvc_sd,resultado_fvl,sd,fef50fvc,float64
138,fef50fvc_cv,resultado_fvl,cv,fef50fvc,float64
139,fef50fvc_skewness,resultado_fvl,skewness,fef50fvc,float64
140,fef50fvc_pre,resultado_fvl,pre,fef50fvc,float64
141,fef50fvc_post,resultado_fvl,post,fef50fvc,float64
142,fef75fvc_predicted,resultado_fvl,predicted,fef75fvc,float64
143,fef75fvc_sd,resultado_fvl,sd,fef75fvc,float64
144,fef75fvc_cv,resultado_fvl,cv,fef75fvc,float64
145,fef75fvc_skewness,resultado_fvl,skewness,fef75fvc,float64
146,fef75fvc_pre,resultado_fvl,pre,fef75fvc,float64
147,fef75fvc_post,resultado_fvl,post,fef75fvc,float64
148,fet2575_predicted,resultado_fvl,predicted,fet2575,float64
149,fet2575_sd,resultado_fvl,sd,fet2575,float64
150,fet2575_cv,resultado_fvl,cv,fet2575,float64
151,fet2575_skewness,resultado_fvl,skewness,fet2575,float64
152,fet2575_pre,resultado_fvl,pre,fet2575,float64
